cell_type,AD lesional_patients,AD lesional_samples,AD lesional_cells,AD lesional_NAB2_mean,AD lesional_NAB2_pct_expr,AD non-lesional_patients,AD non-lesional_samples,AD non-lesional_cells,AD non-lesional_NAB2_mean,AD non-lesional_NAB2_pct_expr,lesional_vs_nonlesional_log2FC,lesional_vs_nonlesional_paired_n,lesional_vs_nonlesional_paired_mean_delta,lesional_vs_nonlesional_paired_p,healthy_patients,healthy_samples,healthy_cells,healthy_NAB2_mean,healthy_NAB2_pct_expr,lesional_vs_healthy_log2FC,lesional_vs_healthy_p
B cells,5,6,37,0.015260867774486542,0.5,1,2,5,0.0,0.0,13.897643912108247,1,,,,,,,,,
LEC,11,17,1474,0.025408803845163096,2.4017061724924154,10,15,1210,0.01584140369668603,2.60069695403853,0.6815939926736216,10,0.010273302183486521,0.12890625,6.0,7.0,1267.0,0.0059842905805756645,0.7158188717521269,2.0858920427781933,0.03816582972912696
Pericyte/SMC,11,17,4135,0.1047841574658047,7.351300671219372,10,15,5231,0.10634667333215475,7.075273631662801,-0.021354092954754673,10,-0.005300187878310681,0.6953125,6.0,7.0,4203.0,0.09937619759390752,6.333759097442882,0.07644761347345211,0.5248868778280543
Plasma,7,11,195,0.01167556137910911,1.6048904108605602,7,9,367,0.031027193846447126,3.148149340487188,-1.409964241225507,7,-0.019351632467338016,0.25,5.0,6.0,38.0,0.0,0.0,13.51132785824529,0.135660318324613
Schwann,11,17,731,0.09698410433801738,6.4287396325673,10,15,861,0.10162622909992933,7.618992875525936,-0.06745190677482546,10,0.0032573288306593897,0.556640625,6.0,7.0,336.0,0.03933569354315599,2.364845147864016,1.3018874883754548,0.11701126175389542
Sweat gland,11,17,1060,0.11182884347032417,9.547997477936528,10,15,1293,0.08259690729901195,5.940366910541628,0.4371281092717734,10,0.017132660653442145,0.556640625,6.0,7.0,908.0,0.07637751428410411,5.166616647636974,0.5500664823409712,0.5908209437621202
T/NK,11,17,13926,0.0775795378298922,4.04960028505977,10,15,8832,0.11521467948332428,5.573977585194778,-0.5705703812206172,10,-0.035119503550231454,0.10546875,6.0,7.0,3768.0,0.07241980475373566,3.603149764170117,0.09929056903524983,0.883645765998707
VEC,11,17,4875,0.10221960048445246,11.263775495419548,10,15,6277,0.11717315437272191,13.541075724457766,-0.19696841171336255,10,-0.017707505635917185,0.845703125,6.0,7.0,4614.0,0.07427472683290641,7.971752105429452,0.46072324855410207,0.1801874595992243
fibroblast,11,17,28705,0.13059657947583633,10.6995282017116,10,15,30774,0.10860418528318405,8.275929415023972,0.2660351725929405,10,0.020271426439285277,0.322265625,6.0,7.0,12534.0,0.08779052272439003,6.395568423215001,0.5729746150138795,0.04767291531997415
keratinocyte,11,17,54413,0.12790566378019072,12.99816380641854,10,15,33473,0.18258192725479602,16.144583078484555,-0.5134604410142407,10,-0.05263155549764633,0.02734375,6.0,7.0,28467.0,0.15138549730181694,12.015958687365597,-0.24314510316017593,0.5248868778280543
melanocyte,11,17,485,0.23248969628052277,17.032042026835157,10,15,519,0.20926984697580336,13.658814225265374,0.1518016370092666,10,0.03144080862402916,0.375,6.0,7.0,912.0,0.20171326523025832,12.743779152930387,0.20485986925046681,0.46234647705235943
myeloid,11,17,12790,0.08950864752246575,6.768900288073499,10,15,9105,0.13519185371696948,10.460271885813288,-0.5949038005711145,10,-0.04650141978636384,0.048828125,6.0,7.0,2698.0,0.07391628716140985,4.608768541779263,0.27613137784136943,0.4043309631544926
