cell_type,AD lesional_mean_proportion,AD lesional_patients,AD non-lesional_mean_proportion,AD non-lesional_patients,lesional_minus_nonlesional_prop,lesional_vs_nonlesional_paired_n,lesional_vs_nonlesional_paired_mean_delta,lesional_vs_nonlesional_paired_p,healthy_mean_proportion,healthy_patients
B cells,0.000592530522595076,5,0.00034200147526848286,1,0.00025052904732659315,1,,,,
LEC,0.011390684394517691,11,0.012045739790940561,10,-0.0006550553964228701,10,-0.0004678346613384024,1.0,0.01629451415492164,6.0
Pericyte/SMC,0.03425777216176914,11,0.05474887240221674,10,-0.020491100240447604,10,-0.0219225458686156,0.02734375,0.07510445859431623,6.0
Plasma,0.002499373898366302,7,0.005195648923065377,7,-0.0026962750246990754,7,-0.002696275024699074,0.8125,0.0012918652322635043,5.0
Schwann,0.005312950159328229,11,0.008543484754725588,10,-0.003230534595397359,10,-0.0032031589523648686,0.037109375,0.0061087170187597226,6.0
Sweat gland,0.008842839718271359,11,0.012587434130978204,10,-0.003744594412706845,10,-0.004470052882089114,0.10546875,0.016099782159039466,6.0
T/NK,0.11608356986585128,11,0.0974354649207289,10,0.018648104945122382,10,0.010939552637194611,0.625,0.08257030173000075,6.0
VEC,0.03939335246770772,11,0.062398746264253735,10,-0.023005393796546016,10,-0.0235173463437282,0.037109375,0.08650976666949,6.0
fibroblast,0.23004564004211525,11,0.3115995301837299,10,-0.08155389014161463,10,-0.07890206969843339,0.275390625,0.20868842059496187,6.0
keratinocyte,0.43902920378492366,11,0.33804253043420524,10,0.10098667335071843,10,0.11548029921633271,0.193359375,0.43614306323464475,6.0
melanocyte,0.004122300072926696,11,0.005278008642563158,10,-0.0011557085696364622,10,-0.0010234337695106469,0.76953125,0.01110815683703401,6.0
myeloid,0.10969080049890442,11,0.09366489544198693,10,0.01602590505691749,10,0.00874190559952909,0.76953125,0.06029626464661195,6.0
