gsm,sample_name,patient,condition,replicate,cell_type,cell_label_method,n_cells,total_cells_sample,NAB2_mean,NAB2_pct_expr,STAT6_mean,STAT6_pct_expr,IL13_mean,IL13_pct_expr,CCL17_mean,CCL17_pct_expr,GATA3_mean,GATA3_pct_expr,type2_full_genes,type2_full_mean,type2_detected_genes,type2_detected_mean,type2_sensitivity_genes,type2_sensitivity_mean
GSM6190732,BCH01-NL1,BCH01,AD non-lesional,NL1,B cells,obs:Cell type,3,7186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0
GSM6190732,BCH01-NL1,BCH01,AD non-lesional,NL1,LEC,obs:Cell type,161,7186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036590881645679474,1.8633540372670807,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0
GSM6190732,BCH01-NL1,BCH01,AD non-lesional,NL1,Pericyte/SMC,obs:Cell type,502,7186,0.06950594484806061,2.788844621513944,0.09830635786056519,4.183266932270916,0.0,0.0,0.004828179720789194,0.199203187250996,0.029521683230996132,1.394422310756972,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.03979567810893059,CCL26,0.3276497721672058,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.05969351530075073
GSM6190732,BCH01-NL1,BCH01,AD non-lesional,NL1,Schwann,obs:Cell type,22,7186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0
GSM6190732,BCH01-NL1,BCH01,AD non-lesional,NL1,Sweat gland,obs:Cell type,213,7186,0.022115329280495644,0.9389671361502347,0.10568799823522568,4.225352112676056,0.0,0.0,0.0,0.0,0.29760533571243286,11.267605633802818,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.006392808631062508,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.009589212946593761
GSM6190732,BCH01-NL1,BCH01,AD non-lesional,NL1,T/NK,obs:Cell type,102,7186,0.025734955444931984,0.9803921568627451,0.05523102357983589,1.9607843137254901,0.047833867371082306,1.9607843137254901,0.0,0.0,0.15032272040843964,6.862745098039216,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.022777464240789413,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.026193886995315552
GSM6190732,BCH01-NL1,BCH01,AD non-lesional,NL1,VEC,obs:Cell type,874,7186,0.019816601648926735,0.8009153318077803,0.11715513467788696,5.377574370709382,0.0,0.0,0.0034159384667873383,0.11441647597254005,0.024270156398415565,1.1441647597254003,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.014578052796423435,"TSLP,IL4R",0.054862238466739655,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.02186707593500614
GSM6190732,BCH01-NL1,BCH01,AD non-lesional,NL1,fibroblast,obs:Cell type,329,7186,0.10769709199666977,3.951367781155015,0.1068924069404602,4.25531914893617,0.0,0.0,0.0,0.0,0.014360304921865463,0.911854103343465,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.009968895465135574,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.014953344129025936
GSM6190732,BCH01-NL1,BCH01,AD non-lesional,NL1,keratinocyte,obs:Cell type,4902,7186,0.13424529135227203,7.26234190126479,0.20659030973911285,11.036311709506325,0.00014201564772520214,0.02039983680130559,0.002866769442334771,0.14279885760913913,0.7866874933242798,37.2297021623827,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.006538542918860912,"CCL26,TSLP,IL4R",0.018090149387717247,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.009784144349396229
GSM6190732,BCH01-NL1,BCH01,AD non-lesional,NL1,melanocyte,obs:Cell type,2,7186,1.102901816368103,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0
GSM6190732,BCH01-NL1,BCH01,AD non-lesional,NL1,myeloid,obs:Cell type,76,7186,0.08340756595134735,5.263157894736842,0.1119297668337822,6.578947368421052,0.0,0.0,1.8953771591186523,52.63157894736842,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.30584463477134705,"CCL17,CCL22",1.347598910331726,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.4587669372558594
