gene,condition,top_disease,overall_status,kd_ok,effect_size,program_adj_p,disease_OR,disease_FDR,chain_score
ITK,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-2.7816,2.125e-81,20.424,4.971e-05,36.1844
ZBTB25,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,-10.4949,2.699e-36,20.424,4.971e-05,36.1823
CHD7,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.6679,3.099e-49,20.424,4.971e-05,34.8827
TRAT1,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-13.9348,2.265e-61,3.0405,5.05e-06,34.8629
CRIM1,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.2948,3.171e-21,3.0405,5.05e-06,34.8629
IGSF9B,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.6714,7.015e-72,3.0405,5.05e-06,34.7227
SLAMF1,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-18.5679,7.701e-156,4.8979,0.0005224,34.4475
FUT8,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.8422,1.399e-25,3.0405,5.05e-06,34.2058
GZMB,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.3457,1.776e-28,3.0405,5.05e-06,34.1208
ANXA4,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-14.4267,5.198e-24,2.5487,0.0003376,33.3457
CYLD,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.5119,1.039e-56,4.651,0.0001227,33.2706
STAT4,Stim48hr,type 1 diabetes mellitus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.7327,7.854e-91,3.4347,0.0277,32.6611
SLAMF1,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.2071,7.701e-156,3.4696,0.0356,32.6092
CCR5,Rest,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.3449,7.907e-25,3.4654,0.0472,32.5273
SAMHD1,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-17.4447,8.209e-32,2.2219,0.0025,32.5231
MAP3K8,Stim8hr,psoriasis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.1786,1.859e-36,17.6014,0.0002632,32.4882
CAMK4,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-14.7332,2.303e-26,2.12,0.0029,32.3932
PKIA,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-17.2706,1.24e-276,2.2219,0.005,32.3274
KIF3A,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-14.7343,1.53e-33,2.9819,0.0404,32.2894
SPSB1,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.1908,2.359e-110,3.0645,0.0018,32.2544
CCR2,Rest,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.6721,2.381e-34,3.4654,0.0472,32.1429
TMEM71,Rest,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-18.4444,1.399e-23,2.0975,0.0068,32.1326
APOBR,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,-17.4422,1.09e-21,5.2985,0.0347,32.1255
STAT4,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.1644,7.854e-91,5.2985,0.0347,32.1255
IL26,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.9803,9.41e-33,3.4304,0.0224,32.0843
MAP4K4,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.0344,2.278e-71,2.5622,0.0095,32.0769
ADA2,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.6163,3.304e-19,3.0405,5.05e-06,32.0101
PHGDH,Stim48hr,multiple sclerosis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-20.6054,8.958e-21,3.8202,0.0077,31.9442
VIM,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.1488,1.761e-30,2.5496,0.0184,31.8958
PTGIR,Rest,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.5058,3.032e-55,4.1537,0.0303,31.8753
MSRA,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.6638,1.004e-29,4.651,0.0001227,31.848
SYTL2,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.3083,3.316e-45,2.2471,0.0477,31.7119
CHD7,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.4086,3.099e-49,4.0035,0.0059,31.6968
UBE2E3,Stim48hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-20.2608,6.644e-39,3.3994,0.0115,31.6249
IL17RA,Stim8hr,psoriasis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-13.4035,2.51e-20,2.7504,0.0438,31.5954
ANKH,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.0178,7.827e-35,2.3613,0.0318,31.5806
IFI30,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-13.4352,1.315e-22,3.0405,5.05e-06,31.5107
MAP3K1,Stim48hr,psoriasis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.0278,3.812e-43,2.7199,0.0208,31.5047
VIM,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.0147,1.761e-30,2.1668,0.0387,31.4872
AGK,Stim8hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-19.4614,1.215e-41,3.2605,0.0167,31.4484
SAMHD1,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-25.1824,8.209e-32,2.3196,0.002,31.4104
PGAP3,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.3482,3.201e-26,4.651,0.0001227,31.4011
APOBR,Stim8hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.2394,1.09e-21,3.2605,0.0167,31.373
DRAM1,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.886,2.077e-32,2.3196,0.002,31.2984
